team,number,position,birth_date,shirt_name,club,height,weight,league,to,age,caps,BMI
SPAIN,13,GK,1994-10-03,ARRIZABALAGA,Athletic Bilbao,189,84,ESP,Moscow,24,1,23.51557907
SPAIN,14,DF,1989-08-28,AZPILICUETA,Chelsea FC,178,78,ENG,Moscow,29,22,24.61810377
SPAIN,15,DF,1986-03-30,RAMOS,Real Madrid CF,183,75,ESP,Moscow,32,152,22.39541342
SPAIN,16,DF,1986-02-26,MONREAL,Arsenal FC,179,72,ENG,Moscow,32,22,22.47120876
SPAIN,17,FW,1987-08-01,IAGO ASPAS,Celta Vigo,176,67,ESP,Moscow,31,10,21.62964876
SPAIN,18,DF,1989-03-21,JORDI ALBA,FC Barcelona,170,68,ESP,Moscow,29,62,23.52941176
SPAIN,19,FW,1988-10-07,DIEGO COSTA,Atletico Madrid,185,86,ESP,Moscow,30,20,25.12783053
SPAIN,2,DF,1992-01-11,CARVAJAL,Real Madrid CF,173,73,ESP,Moscow,26,15,24.39105884
SPAIN,20,MF,1996-01-21,ASENSIO,Real Madrid CF,182,76,ESP,Moscow,22,12,22.94408888
SPAIN,21,FW,1986-01-08,SILVA,Manchester City FC,170,67,ENG,Moscow,32,121,23.183391
SPAIN,22,MF,1992-04-21,ISCO,Real Madrid CF,176,74,ESP,Moscow,26,28,23.88946281
SPAIN,23,GK,1982-08-31,REINA,SSC Napoli,188,92,ITA,Moscow,36,36,26.02987777
SPAIN,3,DF,1987-02-02,PIQUÉ,FC Barcelona,194,85,ESP,Moscow,31,98,22.58475927
SPAIN,4,DF,1990-01-18,NACHO,Real Madrid CF,179,77,ESP,Moscow,28,17,24.03170937
SPAIN,5,MF,1988-07-16,SERGIO,FC Barcelona,189,78,ESP,Moscow,30,103,21.83589485
SPAIN,6,MF,1984-05-11,A. INIESTA,FC Barcelona,171,68,ESP,Moscow,34,127,23.25501864
SPAIN,7,MF,1994-11-21,SAÚL,Atletico Madrid,183,76,ESP,Moscow,24,10,22.69401893
SPAIN,8,MF,1992-01-08,KOKE,Atletico Madrid,176,73,ESP,Moscow,26,40,23.56663223
SPAIN,9,FW,1991-03-06,RODRIGO M.,Valencia CF,182,72,ESP,Moscow,27,6,21.73650525
SWEDEN,1,GK,1990-01-08,OLSEN,FC Kobenhavn,198,89,DEN,Moscow,28,18,22.70176513
SWEDEN,10,MF,1991-10-23,FORSBERG,RB Leipzig,179,78,GER,Moscow,27,36,24.34380949
SWEDEN,11,FW,1992-04-15,GUIDETTI,Deportivo Alavés,185,79,ESP,Moscow,26,20,23.082542
SWEDEN,12,GK,1990-01-28,JOHNSSON,EA Guingamp,187,83,FRA,Moscow,28,5,23.73530842
SWEDEN,13,MF,1987-02-07,SVENSSON,Seattle Sounders FC,183,77,USA,Moscow,31,13,22.99262444
SWEDEN,14,DF,1993-04-22,HELANDER,Bologna FC,192,83,ITA,Moscow,25,4,22.51519097
SWEDEN,15,MF,1992-06-28,HILJEMARK,Genoa CFC,184,73,ITA,Moscow,26,22,21.56190926
SWEDEN,16,DF,1994-08-02,KRAFTH,Bologna FC,181,72,ITA,Moscow,24,13,21.97735112
SWEDEN,17,MF,1992-01-02,CLAESSON,FC Krasnodar,183,79,RUS,Moscow,26,22,23.58983547
SWEDEN,18,DF,1991-02-13,JANSSON,Leeds United FC,194,89,ENG,Moscow,27,15,23.64757147
SWEDEN,19,MF,1991-05-11,ROHDÉN,FC Crotone,182,76,ITA,Moscow,27,12,22.94408888
SWEDEN,2,DF,1986-12-13,LUSTIG,Celtic FC,189,77,SCO,Moscow,32,66,21.55594748
SWEDEN,20,FW,1986-07-03,TOIVONEN,Toulouse FC,192,78,FRA,Moscow,32,59,21.15885417
SWEDEN,21,MF,1989-03-22,DURMAZ,Toulouse FC,180,69,FRA,Moscow,29,45,21.2962963
SWEDEN,22,FW,1992-06-24,KIESE THELIN,KV Waasland-Beveren,189,83,BEL,Moscow,26,20,23.2356317
SWEDEN,23,GK,1989-06-23,NORDFELDT,Swansea City AFC,190,85,WAL,Moscow,29,8,23.54570637
SWEDEN,3,DF,1994-07-17,LINDELÖF,Manchester United FC,187,81,ENG,Moscow,24,21,23.16337327
SWEDEN,4,DF,1985-04-16,GRANQVIST,FC Krasnodar,192,84,RUS,Moscow,33,72,22.78645833
SWEDEN,5,DF,1988-05-17,OLSSON,Swansea City AFC,177,81,WAL,Moscow,30,43,25.85463947
SWEDEN,6,DF,1994-04-21,AUGUSTINSSON,SV Werder Bremen,181,76,GER,Moscow,24,15,23.19831507
SWEDEN,7,MF,1985-06-06,LARSSON,Hull City FC,178,70,ENG,Moscow,33,100,22.09317005
SWEDEN,8,MF,1989-07-28,EKDAL,Hamburger SV,186,75,GER,Moscow,29,34,21.6788068
SWEDEN,9,FW,1986-08-17,BERG,Al Ain FC,183,76,UAE,Moscow,32,57,22.69401893
SWITZERLAND,1,GK,1988-12-17,SOMMER,VfL Borussia Mönchengladbach,183,81,GER,Moscow,29,35,24.18704649
SWITZERLAND,10,MF,1992-09-27,XHAKA,Arsenal FC,183,82,ENG,Moscow,26,62,24.48565201
SWITZERLAND,11,MF,1985-04-19,BEHRAMI,Udinese Calcio,184,78,ITA,Moscow,33,79,23.03875236
SWITZERLAND,12,GK,1994-06-06,MVOGO,RB Leipzig,186,84,GER,Moscow,24,0,24.28026361
SWITZERLAND,13,DF,1992-08-25,RODRIGUEZ,AC Milan,180,79,ITA,Moscow,26,53,24.38271605
SWITZERLAND,14,MF,1991-08-17,ZUBER,TSG 1899 Hoffenheim,182,79,GER,Moscow,27,12,23.8497766
SWITZERLAND,15,MF,1986-04-12,DZEMAILI,Bologna FC,180,77,ITA,Moscow,32,65,23.7654321
SWITZERLAND,16,MF,1986-09-02,G. FERNANDES,Eintracht Frankfurt,180,72,GER,Moscow,32,67,22.22222222
SWITZERLAND,17,MF,1996-11-20,ZAKARIA,VfL Borussia Mönchengladbach,189,77,GER,Moscow,22,10,21.55594748
SWITZERLAND,18,FW,1989-11-24,GAVRANOVIC,GNK Dinamo Zagreb,175,75,CRO,Moscow,29,14,24.48979592
SWITZERLAND,19,FW,1992-08-08,DRMIC,VfL Borussia Mönchengladbach,184,78,GER,Moscow,26,29,23.03875236
SWITZERLAND,2,DF,1984-01-16,LICHTSTEINER,Juventus FC,181,77,ITA,Moscow,34,100,23.50355606
SWITZERLAND,20,DF,1987-01-18,DJOUROU,Antalyaspor AS,192,90,TUR,Moscow,31,74,24.4140625
SWITZERLAND,21,GK,1990-11-14,BÜRKI,Borussia Dortmund,188,83,GER,Moscow,28,9,23.48347669
SWITZERLAND,22,DF,1991-12-20,SCHÄR,Deportivo La Coruña,186,83,ESP,Moscow,26,39,23.99121286
SWITZERLAND,23,MF,1991-10-10,SHAQIRI,Stoke City FC,165,78,ENG,Moscow,27,70,28.65013774
SWITZERLAND,3,DF,1990-06-21,MOUBANDJE,Toulouse FC,180,76,FRA,Moscow,28,18,23.45679012
SWITZERLAND,4,DF,1996-09-30,ELVEDI,VfL Borussia Mönchengladbach,187,77,GER,Moscow,22,6,22.01950299
SWITZERLAND,5,DF,1995-07-19,AKANJI,Borussia Dortmund,186,85,GER,Moscow,23,7,24.56931437
SWITZERLAND,6,DF,1991-02-08,LANG,FC Basel,185,78,SUI,Moscow,27,24,22.79035793
SWITZERLAND,7,FW,1997-02-14,EMBOLO,FC Schalke 04,184,86,GER,Moscow,21,25,25.40170132
SWITZERLAND,8,MF,1992-04-15,FREULER,Atalanta Bergamo,181,75,ITA,Moscow,26,10,22.89307408
SWITZERLAND,9,FW,1992-02-22,SEFEROVIC,SL Benfica,186,88,POR,Moscow,26,51,25.43646664
TUNISIA,1,GK,1989-07-01,BEN MUSTAPHA,Al Shabab FC,192,85,KSA,Moscow,29,15,23.05772569
TUNISIA,10,FW,1991-02-08,KHAZRI,Stade Rennais FC,182,76,FRA,Moscow,27,35,22.94408888
TUNISIA,11,DF,1995-06-19,BRONN,KAA Gent,186,75,BEL,Moscow,23,5,21.6788068
TUNISIA,12,DF,1990-01-01,MAALOUL,Al Ahly SC,170,72,EGY,Moscow,28,46,24.91349481
TUNISIA,13,MF,1992-03-18,SASSI,Al Nassr FC,186,80,KSA,Moscow,26,39,23.12406059
TUNISIA,14,MF,1992-05-03,BEN AMOR,Al Ahli SC,180,75,KSA,Moscow,26,26,23.14814815
TUNISIA,15,FW,1994-12-21,KHALIL,Club Africain,187,75,TUN,Moscow,23,3,21.44756785
TUNISIA,16,GK,1984-09-14,MATHLOUTHI .A,Al Batin FC,182,84,KSA,Moscow,34,70,25.35925613
TUNISIA,17,MF,1995-05-10,SKHIRI JORIS,Montpellier HSC,185,69,FRA,Moscow,23,5,20.16070124
TUNISIA,18,FW,1997-06-25,SRARFI,OGC Nice,176,71,FRA,Moscow,21,5,22.92097107
TUNISIA,19,FW,1986-10-14,KHALIFA,Club Africain,185,72,TUN,Moscow,32,44,21.03725347
TUNISIA,2,DF,1989-03-31,BEN YOUSSEF .S,Kasimpasa SK,189,87,TUR,Moscow,29,42,24.35542118
TUNISIA,20,FW,1994-02-28,CHAALELI,ES Tunis,179,70,TUN,Moscow,24,6,21.84700852
TUNISIA,21,DF,1992-10-28,NAGUEZ,Zamalek,186,75,EGY,Moscow,26,15,21.6788068
TUNISIA,22,GK,1995-03-05,HASSEN,LB Chateauroux,186,70,FRA,Moscow,23,3,20.23355301
TUNISIA,23,FW,1992-07-27,SLITI,Dijon FCO,173,65,FRA,Moscow,26,17,21.71806609
TUNISIA,3,DF,1987-03-28,BEN ALOUANE,Leicester City FC,185,75,ENG,Moscow,31,4,21.9138057
TUNISIA,4,DF,1993-07-02,MERIAH,CS Sfaxien,183,70,TUN,Moscow,25,16,20.90238586
TUNISIA,5,DF,1992-01-28,HADDADI,Dijon FCO,185,76,FRA,Moscow,26,9,22.20598977
TUNISIA,6,DF,1990-01-19,BEDOUI,Étoile du Sahel,187,77,TUN,Moscow,28,8,22.01950299
TUNISIA,7,FW,1995-04-27,KHAOUI,ES Troyes,180,76,FRA,Moscow,23,5,23.45679012
TUNISIA,8,FW,1991-06-23,BEN YOUSSEF .F,Al Ittifaq FC,189,80,KSA,Moscow,27,39,22.39578959
TUNISIA,9,MF,1990-09-18,BADRI,ES Tunis,178,70,TUN,Moscow,28,7,22.09317005
URUGUAY,1,GK,1986-06-16,F. MUSLERA,Galatasaray SK,190,74,TUR,Moscow,32,97,20.49861496
URUGUAY,10,FW,1994-06-01,G. DE ARRASCAETA,Cruzeiro EC,172,64,BRA,Moscow,24,14,21.63331531
URUGUAY,11,FW,1986-10-12,C. STUANI,Girona FC,186,78,ESP,Moscow,32,41,22.54595907
URUGUAY,12,GK,1989-05-29,M. CAMPAÑA,CA Independiente,184,79,ARG,Moscow,29,1,23.33412098
URUGUAY,13,DF,1994-03-05,G. SILVA,CA Independiente,185,74,ARG,Moscow,24,17,21.62162162
URUGUAY,14,MF,1996-02-11,L. TORREIRA,UC Sampdoria,168,61,ITA,Moscow,22,3,21.61281179
URUGUAY,15,MF,1991-08-24,M. VECINO,FC Internazionale,189,80,ITA,Moscow,27,22,22.39578959
URUGUAY,16,DF,1984-06-08,M. PEREIRA,FC Porto,173,73,POR,Moscow,34,125,24.39105884
URUGUAY,17,MF,1993-02-07,D. LAXALT,Genoa CFC,178,66,ITA,Moscow,25,6,20.83070319
URUGUAY,18,FW,1996-08-14,M. GOMEZ,Celta Vigo,186,85,ESP,Moscow,22,5,24.56931437
URUGUAY,19,DF,1990-10-07,S. COATES,Sporting CP,196,89,POR,Moscow,28,30,23.16743024
URUGUAY,2,DF,1995-01-20,J.M. GIMENEZ,Atletico Madrid,185,77,ESP,Moscow,23,42,22.49817385
URUGUAY,20,FW,1990-03-19,J. URRETAVISCAYA,CF Monterrey,172,66,MEX,Moscow,28,4,22.30935641
URUGUAY,21,FW,1987-02-14,E. CAVANI,Paris Saint-Germain FC,188,78,FRA,Moscow,31,101,22.06880942
URUGUAY,22,DF,1987-04-07,M. CACERES,SS Lazio,178,75,ITA,Moscow,31,76,23.67125363
URUGUAY,23,GK,1983-03-25,M. SILVA,CR Vasco da Gama,187,82,BRA,Moscow,35,11,23.44934084
URUGUAY,3,DF,1986-02-16,D. GODIN,Atletico Madrid,185,73,ESP,Moscow,32,116,21.32943755
URUGUAY,4,DF,1993-03-24,G. VARELA,CA Penarol,173,70,URU,Moscow,25,3,23.38868656
URUGUAY,5,MF,1984-12-02,C. SANCHEZ,CF Monterrey,171,74,MEX,Moscow,34,36,25.30693205
URUGUAY,6,MF,1997-06-25,R. BENTANCUR,Juventus FC,187,73,ITA,Moscow,21,7,20.8756327
URUGUAY,7,MF,1985-09-30,C. RODRIGUEZ,CA Penarol,178,79,URU,Moscow,33,105,24.93372049
URUGUAY,8,MF,1995-12-28,N. NANDEZ,CA Boca Juniors,171,61,ARG,Moscow,22,12,20.86111966
URUGUAY,9,FW,1987-01-24,L. SUAREZ,FC Barcelona,182,85,ESP,Moscow,31,98,25.66115203
